kind,scope,name,numeric_value,text_value
metadata,run,mode,,"partitioned_batch"
metadata,run,input_path,,"/afs/andrew.cmu.edu/usr20/eugenel/private/15418/mesh-simplification/bunny.obj"
metadata,run,output_path,,"./qes_batch/partitioned_batch/bunny_r0p5_t1.obj"
metadata,run,target_vertex_fraction,0.005,
metadata,run,threads,1,
metadata,run,partitions,1,
metadata,run,batch_size,64,
metadata,run,repartition_every,0,
phase,total,mesh_load_seconds,0.114316,
phase,total,"half_edge_build_seconds",0.24596,
phase,total,"initial_quadrics_seconds",0.0811812,
phase,total,"initial_queue_build_seconds",0.267188,
phase,total,"partition_build_seconds",4.61586,
phase,total,"local_selection_seconds",0.973616,
phase,total,"boundary_repair_seconds",0.609408,
phase,total,"queue_refresh_seconds",214.462,
phase,total,mesh_write_seconds,0.00333146,
phase,total,total_seconds,273.599,
metric,summary,"initial_vertex_count",72027,
metric,summary,"initial_face_count",144046,
metric,summary,"target_vertex_count",361,
metric,summary,"final_vertex_count",361,
metric,summary,"final_face_count",714,
metric,summary,"requested_threads",1,
metric,summary,"requested_partitions",1,
metric,summary,"accepted_collapses",71666,
metric,summary,"accepted_local_collapses",60290,
metric,summary,"accepted_boundary_collapses",11376,
metric,summary,"skipped_boundary_edges",0,
metric,summary,"rejected_conflicts",4994,
metric,summary,"repartition_count",231,
metric,summary,"queue_refresh_count",942,
metric,summary,"round_count",943,
metric,summary,"interior_edge_fraction_avg",0.970149,
metric,summary,"boundary_edge_fraction_avg",0.0298513,
metric,summary,"local_queue_size_avg",106891,
metric,summary,"boundary_queue_size_avg",1487.96,
metric,summary,"partition_load_imbalance_avg",1,
metric,summary,"partition_load_imbalance_max",1,
metric,"round_0",interior_edge_fraction,1,
metric,"round_0",boundary_edge_fraction,0,
metric,"round_0",partition_load_imbalance,1,
metric,"round_0",local_queue_size,216069,
metric,"round_0",boundary_queue_size,0,
metric,"round_0",accepted_local_collapses,64,
metric,"round_0",accepted_boundary_collapses,0,
metric,"round_0",skipped_boundary_edges,0,
metric,"round_0",rejected_conflicts,50,
metric,"round_0",repartitioned,1,
metric,"round_1",interior_edge_fraction,0.995761,
metric,"round_1",boundary_edge_fraction,0.00423852,
metric,"round_1",partition_load_imbalance,1,
metric,"round_1",local_queue_size,214962,
metric,"round_1",boundary_queue_size,915,
metric,"round_1",accepted_local_collapses,64,
metric,"round_1",accepted_boundary_collapses,16,
metric,"round_1",skipped_boundary_edges,0,
metric,"round_1",rejected_conflicts,55,
metric,"round_1",repartitioned,0,
metric,"round_2",interior_edge_fraction,0.99143,
metric,"round_2",boundary_edge_fraction,0.00856996,
metric,"round_2",partition_load_imbalance,1,
metric,"round_2",local_queue_size,213789,
metric,"round_2",boundary_queue_size,1848,
metric,"round_2",accepted_local_collapses,64,
metric,"round_2",accepted_boundary_collapses,16,
metric,"round_2",skipped_boundary_edges,0,
metric,"round_2",rejected_conflicts,25,
metric,"round_2",repartitioned,0,
metric,"round_3",interior_edge_fraction,0.987061,
metric,"round_3",boundary_edge_fraction,0.0129389,
metric,"round_3",partition_load_imbalance,1,
metric,"round_3",local_queue_size,212610,
metric,"round_3",boundary_queue_size,2787,
metric,"round_3",accepted_local_collapses,64,
metric,"round_3",accepted_boundary_collapses,16,
metric,"round_3",skipped_boundary_edges,0,
metric,"round_3",rejected_conflicts,16,
metric,"round_3",repartitioned,0,
metric,"round_4",interior_edge_fraction,0.982576,
metric,"round_4",boundary_edge_fraction,0.0174245,
metric,"round_4",partition_load_imbalance,1,
metric,"round_4",local_queue_size,211408,
metric,"round_4",boundary_queue_size,3749,
metric,"round_4",accepted_local_collapses,64,
metric,"round_4",accepted_boundary_collapses,16,
metric,"round_4",skipped_boundary_edges,0,
metric,"round_4",rejected_conflicts,16,
metric,"round_4",repartitioned,0,
metric,"round_5",interior_edge_fraction,1,
metric,"round_5",boundary_edge_fraction,0,
metric,"round_5",partition_load_imbalance,1,
metric,"round_5",local_queue_size,214917,
metric,"round_5",boundary_queue_size,0,
metric,"round_5",accepted_local_collapses,64,
metric,"round_5",accepted_boundary_collapses,0,
metric,"round_5",skipped_boundary_edges,0,
metric,"round_5",rejected_conflicts,8,
metric,"round_5",repartitioned,1,
metric,"round_6",interior_edge_fraction,0.995729,
metric,"round_6",boundary_edge_fraction,0.00427058,
metric,"round_6",partition_load_imbalance,1,
metric,"round_6",local_queue_size,213808,
metric,"round_6",boundary_queue_size,917,
metric,"round_6",accepted_local_collapses,64,
metric,"round_6",accepted_boundary_collapses,16,
metric,"round_6",skipped_boundary_edges,0,
metric,"round_6",rejected_conflicts,4,
metric,"round_6",repartitioned,0,
metric,"round_7",interior_edge_fraction,0.991048,
metric,"round_7",boundary_edge_fraction,0.00895167,
metric,"round_7",partition_load_imbalance,1,
metric,"round_7",local_queue_size,212565,
metric,"round_7",boundary_queue_size,1920,
metric,"round_7",accepted_local_collapses,64,
metric,"round_7",accepted_boundary_collapses,16,
metric,"round_7",skipped_boundary_edges,0,
metric,"round_7",rejected_conflicts,13,
metric,"round_7",repartitioned,0,
metric,"round_8",interior_edge_fraction,0.986282,
metric,"round_8",boundary_edge_fraction,0.0137179,
metric,"round_8",partition_load_imbalance,1,
metric,"round_8",local_queue_size,211306,
metric,"round_8",boundary_queue_size,2939,
metric,"round_8",accepted_local_collapses,64,
metric,"round_8",accepted_boundary_collapses,16,
metric,"round_8",skipped_boundary_edges,0,
metric,"round_8",rejected_conflicts,10,
metric,"round_8",repartitioned,0,
metric,"round_9",interior_edge_fraction,0.981566,
metric,"round_9",boundary_edge_fraction,0.0184341,
metric,"round_9",partition_load_imbalance,1,
metric,"round_9",local_queue_size,210060,
metric,"round_9",boundary_queue_size,3945,
metric,"round_9",accepted_local_collapses,64,
metric,"round_9",accepted_boundary_collapses,16,
metric,"round_9",skipped_boundary_edges,0,
metric,"round_9",rejected_conflicts,4,
metric,"round_9",repartitioned,0,
metric,"round_10",interior_edge_fraction,1,
metric,"round_10",boundary_edge_fraction,0,
metric,"round_10",partition_load_imbalance,1,
metric,"round_10",local_queue_size,213765,
metric,"round_10",boundary_queue_size,0,
metric,"round_10",accepted_local_collapses,64,
metric,"round_10",accepted_boundary_collapses,0,
metric,"round_10",skipped_boundary_edges,0,
metric,"round_10",rejected_conflicts,6,
metric,"round_10",repartitioned,1,
metric,"round_11",interior_edge_fraction,0.995594,
metric,"round_11",boundary_edge_fraction,0.00440599,
metric,"round_11",partition_load_imbalance,1,
metric,"round_11",local_queue_size,212632,
metric,"round_11",boundary_queue_size,941,
metric,"round_11",accepted_local_collapses,64,
metric,"round_11",accepted_boundary_collapses,16,
metric,"round_11",skipped_boundary_edges,0,
metric,"round_11",rejected_conflicts,8,
metric,"round_11",repartitioned,0,
metric,"round_12",interior_edge_fraction,0.990827,
metric,"round_12",boundary_edge_fraction,0.00917345,
metric,"round_12",partition_load_imbalance,1,
metric,"round_12",local_queue_size,211376,
metric,"round_12",boundary_queue_size,1957,
metric,"round_12",accepted_local_collapses,64,
metric,"round_12",accepted_boundary_collapses,16,
metric,"round_12",skipped_boundary_edges,0,
metric,"round_12",rejected_conflicts,12,
metric,"round_12",repartitioned,0,
metric,"round_13",interior_edge_fraction,0.986119,
metric,"round_13",boundary_edge_fraction,0.0138813,
metric,"round_13",partition_load_imbalance,1,
metric,"round_13",local_queue_size,210135,
metric,"round_13",boundary_queue_size,2958,
metric,"round_13",accepted_local_collapses,64,
metric,"round_13",accepted_boundary_collapses,16,
metric,"round_13",skipped_boundary_edges,0,
metric,"round_13",rejected_conflicts,6,
metric,"round_13",repartitioned,0,
metric,"round_14",interior_edge_fraction,0.981226,
metric,"round_14",boundary_edge_fraction,0.0187735,
metric,"round_14",partition_load_imbalance,1,
metric,"round_14",local_queue_size,208857,
metric,"round_14",boundary_queue_size,3996,
metric,"round_14",accepted_local_collapses,64,
metric,"round_14",accepted_boundary_collapses,16,
metric,"round_14",skipped_boundary_edges,0,
metric,"round_14",rejected_conflicts,5,
metric,"round_14",repartitioned,0,
metric,"round_15",interior_edge_fraction,1,
metric,"round_15",boundary_edge_fraction,0,
metric,"round_15",partition_load_imbalance,1,
metric,"round_15",local_queue_size,212613,
metric,"round_15",boundary_queue_size,0,
metric,"round_15",accepted_local_collapses,64,
metric,"round_15",accepted_boundary_collapses,0,
metric,"round_15",skipped_boundary_edges,0,
metric,"round_15",rejected_conflicts,2,
metric,"round_15",repartitioned,1,
metric,"round_16",interior_edge_fraction,0.995551,
metric,"round_16",boundary_edge_fraction,0.00444871,
metric,"round_16",partition_load_imbalance,1,
metric,"round_16",local_queue_size,211476,
metric,"round_16",boundary_queue_size,945,
metric,"round_16",accepted_local_collapses,64,
metric,"round_16",accepted_boundary_collapses,16,
metric,"round_16",skipped_boundary_edges,0,
metric,"round_16",rejected_conflicts,8,
metric,"round_16",repartitioned,0,
metric,"round_17",interior_edge_fraction,0.990565,
metric,"round_17",boundary_edge_fraction,0.00943534,
metric,"round_17",partition_load_imbalance,1,
metric,"round_17",local_queue_size,210179,
metric,"round_17",boundary_queue_size,2002,
metric,"round_17",accepted_local_collapses,64,
metric,"round_17",accepted_boundary_collapses,16,
metric,"round_17",skipped_boundary_edges,0,
metric,"round_17",rejected_conflicts,4,
metric,"round_17",repartitioned,0,
metric,"round_18",interior_edge_fraction,0.985609,
metric,"round_18",boundary_edge_fraction,0.0143908,
metric,"round_18",partition_load_imbalance,1,
metric,"round_18",local_queue_size,208891,
metric,"round_18",boundary_queue_size,3050,
metric,"round_18",accepted_local_collapses,64,
metric,"round_18",accepted_boundary_collapses,16,
metric,"round_18",skipped_boundary_edges,0,
metric,"round_18",rejected_conflicts,8,
metric,"round_18",repartitioned,0,
metric,"round_19",interior_edge_fraction,0.980657,
metric,"round_19",boundary_edge_fraction,0.0193433,
metric,"round_19",partition_load_imbalance,1,
metric,"round_19",local_queue_size,207606,
metric,"round_19",boundary_queue_size,4095,
metric,"round_19",accepted_local_collapses,64,
metric,"round_19",accepted_boundary_collapses,16,
metric,"round_19",skipped_boundary_edges,0,
metric,"round_19",rejected_conflicts,6,
metric,"round_19",repartitioned,0,
metric,"round_20",interior_edge_fraction,1,
metric,"round_20",boundary_edge_fraction,0,
metric,"round_20",partition_load_imbalance,1,
metric,"round_20",local_queue_size,211461,
metric,"round_20",boundary_queue_size,0,
metric,"round_20",accepted_local_collapses,64,
metric,"round_20",accepted_boundary_collapses,0,
metric,"round_20",skipped_boundary_edges,0,
metric,"round_20",rejected_conflicts,3,
metric,"round_20",repartitioned,1,
metric,"round_21",interior_edge_fraction,0.995418,
metric,"round_21",boundary_edge_fraction,0.00458184,
metric,"round_21",partition_load_imbalance,1,
metric,"round_21",local_queue_size,210301,
metric,"round_21",boundary_queue_size,968,
metric,"round_21",accepted_local_collapses,64,
metric,"round_21",accepted_boundary_collapses,16,
