kind,scope,name,numeric_value,text_value
metadata,run,mode,,"partitioned_batch"
metadata,run,input_path,,"/afs/andrew.cmu.edu/usr20/eugenel/private/15418/mesh-simplification/bunny.obj"
metadata,run,output_path,,"./qes_batch/partitioned_batch/bunny_r1_t8.obj"
metadata,run,target_vertex_fraction,0.01,
metadata,run,threads,8,
metadata,run,partitions,8,
metadata,run,batch_size,64,
metadata,run,repartition_every,0,
phase,total,mesh_load_seconds,0.117719,
phase,total,"half_edge_build_seconds",0.244326,
phase,total,"initial_quadrics_seconds",0.0946626,
phase,total,"initial_queue_build_seconds",0.233064,
phase,total,"partition_build_seconds",1.8771,
phase,total,"local_selection_seconds",1.06269,
phase,total,"boundary_repair_seconds",2.52398,
phase,total,"queue_refresh_seconds",17.7914,
phase,total,mesh_write_seconds,0.0106505,
phase,total,total_seconds,29.2594,
metric,summary,"initial_vertex_count",72027,
metric,summary,"initial_face_count",144046,
metric,summary,"target_vertex_count",721,
metric,summary,"final_vertex_count",721,
metric,summary,"final_face_count",1434,
metric,summary,"requested_threads",8,
metric,summary,"requested_partitions",8,
metric,summary,"accepted_collapses",71306,
metric,summary,"accepted_local_collapses",55962,
metric,summary,"accepted_boundary_collapses",15344,
metric,summary,"skipped_boundary_edges",0,
metric,summary,"rejected_conflicts",116109,
metric,summary,"repartition_count",131,
metric,summary,"queue_refresh_count",130,
metric,summary,"round_count",131,
metric,summary,"interior_edge_fraction_avg",0.942965,
metric,summary,"boundary_edge_fraction_avg",0.0570355,
metric,summary,"local_queue_size_avg",96482.5,
metric,summary,"boundary_queue_size_avg",3592.19,
metric,summary,"partition_load_imbalance_avg",7309.29,
metric,summary,"partition_load_imbalance_max",37055,
metric,"round_0",interior_edge_fraction,0.956912,
metric,"round_0",boundary_edge_fraction,0.0430881,
metric,"round_0",partition_load_imbalance,4.76552,
metric,"round_0",local_queue_size,206759,
metric,"round_0",boundary_queue_size,9310,
metric,"round_0",accepted_local_collapses,512,
metric,"round_0",accepted_boundary_collapses,128,
metric,"round_0",skipped_boundary_edges,0,
metric,"round_0",rejected_conflicts,588,
metric,"round_0",repartitioned,1,
metric,"round_1",interior_edge_fraction,0.957021,
metric,"round_1",boundary_edge_fraction,0.0429794,
metric,"round_1",partition_load_imbalance,4.83648,
metric,"round_1",local_queue_size,204945,
metric,"round_1",boundary_queue_size,9204,
metric,"round_1",accepted_local_collapses,512,
metric,"round_1",accepted_boundary_collapses,128,
metric,"round_1",skipped_boundary_edges,0,
metric,"round_1",rejected_conflicts,365,
metric,"round_1",repartitioned,1,
metric,"round_2",interior_edge_fraction,0.957235,
metric,"round_2",boundary_edge_fraction,0.0427651,
metric,"round_2",partition_load_imbalance,4.90679,
metric,"round_2",local_queue_size,203153,
metric,"round_2",boundary_queue_size,9076,
metric,"round_2",accepted_local_collapses,512,
metric,"round_2",accepted_boundary_collapses,128,
metric,"round_2",skipped_boundary_edges,0,
metric,"round_2",rejected_conflicts,257,
metric,"round_2",repartitioned,1,
metric,"round_3",interior_edge_fraction,0.957605,
metric,"round_3",boundary_edge_fraction,0.0423948,
metric,"round_3",partition_load_imbalance,4.97984,
metric,"round_3",local_queue_size,201393,
metric,"round_3",boundary_queue_size,8916,
metric,"round_3",accepted_local_collapses,512,
metric,"round_3",accepted_boundary_collapses,128,
metric,"round_3",skipped_boundary_edges,0,
metric,"round_3",rejected_conflicts,180,
metric,"round_3",repartitioned,1,
metric,"round_4",interior_edge_fraction,0.957838,
metric,"round_4",boundary_edge_fraction,0.0421615,
metric,"round_4",partition_load_imbalance,5.05942,
metric,"round_4",local_queue_size,199603,
metric,"round_4",boundary_queue_size,8786,
metric,"round_4",accepted_local_collapses,512,
metric,"round_4",accepted_boundary_collapses,128,
metric,"round_4",skipped_boundary_edges,0,
metric,"round_4",rejected_conflicts,140,
metric,"round_4",repartitioned,1,
metric,"round_5",interior_edge_fraction,0.958202,
metric,"round_5",boundary_edge_fraction,0.041798,
metric,"round_5",partition_load_imbalance,5.14352,
metric,"round_5",local_queue_size,197839,
metric,"round_5",boundary_queue_size,8630,
metric,"round_5",accepted_local_collapses,512,
metric,"round_5",accepted_boundary_collapses,128,
metric,"round_5",skipped_boundary_edges,0,
metric,"round_5",rejected_conflicts,151,
metric,"round_5",repartitioned,1,
metric,"round_6",interior_edge_fraction,0.958445,
metric,"round_6",boundary_edge_fraction,0.0415548,
metric,"round_6",partition_load_imbalance,5.23253,
metric,"round_6",local_queue_size,196049,
metric,"round_6",boundary_queue_size,8500,
metric,"round_6",accepted_local_collapses,512,
metric,"round_6",accepted_boundary_collapses,128,
metric,"round_6",skipped_boundary_edges,0,
metric,"round_6",rejected_conflicts,118,
metric,"round_6",repartitioned,1,
metric,"round_7",interior_edge_fraction,0.958905,
metric,"round_7",boundary_edge_fraction,0.0410948,
metric,"round_7",partition_load_imbalance,5.31983,
metric,"round_7",local_queue_size,194302,
metric,"round_7",boundary_queue_size,8327,
metric,"round_7",accepted_local_collapses,512,
metric,"round_7",accepted_boundary_collapses,128,
metric,"round_7",skipped_boundary_edges,0,
metric,"round_7",rejected_conflicts,118,
metric,"round_7",repartitioned,1,
metric,"round_8",interior_edge_fraction,0.959329,
metric,"round_8",boundary_edge_fraction,0.0406708,
metric,"round_8",partition_load_imbalance,5.41098,
metric,"round_8",local_queue_size,192546,
metric,"round_8",boundary_queue_size,8163,
metric,"round_8",accepted_local_collapses,512,
metric,"round_8",accepted_boundary_collapses,128,
metric,"round_8",skipped_boundary_edges,0,
metric,"round_8",rejected_conflicts,98,
metric,"round_8",repartitioned,1,
metric,"round_9",interior_edge_fraction,0.959771,
metric,"round_9",boundary_edge_fraction,0.0402286,
metric,"round_9",partition_load_imbalance,5.50505,
metric,"round_9",local_queue_size,190792,
metric,"round_9",boundary_queue_size,7997,
metric,"round_9",accepted_local_collapses,512,
metric,"round_9",accepted_boundary_collapses,128,
metric,"round_9",skipped_boundary_edges,0,
metric,"round_9",rejected_conflicts,87,
metric,"round_9",repartitioned,1,
metric,"round_10",interior_edge_fraction,0.960141,
metric,"round_10",boundary_edge_fraction,0.039859,
metric,"round_10",partition_load_imbalance,5.6134,
metric,"round_10",local_queue_size,189022,
metric,"round_10",boundary_queue_size,7847,
metric,"round_10",accepted_local_collapses,512,
metric,"round_10",accepted_boundary_collapses,128,
metric,"round_10",skipped_boundary_edges,0,
metric,"round_10",rejected_conflicts,97,
metric,"round_10",repartitioned,1,
metric,"round_11",interior_edge_fraction,0.960436,
metric,"round_11",boundary_edge_fraction,0.0395642,
metric,"round_11",partition_load_imbalance,5.71961,
metric,"round_11",local_queue_size,187236,
metric,"round_11",boundary_queue_size,7713,
metric,"round_11",accepted_local_collapses,512,
metric,"round_11",accepted_boundary_collapses,128,
metric,"round_11",skipped_boundary_edges,0,
metric,"round_11",rejected_conflicts,92,
metric,"round_11",repartitioned,1,
metric,"round_12",interior_edge_fraction,0.96083,
metric,"round_12",boundary_edge_fraction,0.0391703,
metric,"round_12",partition_load_imbalance,5.82612,
metric,"round_12",local_queue_size,185468,
metric,"round_12",boundary_queue_size,7561,
metric,"round_12",accepted_local_collapses,512,
metric,"round_12",accepted_boundary_collapses,128,
metric,"round_12",skipped_boundary_edges,0,
metric,"round_12",rejected_conflicts,134,
metric,"round_12",repartitioned,1,
metric,"round_13",interior_edge_fraction,0.961211,
metric,"round_13",boundary_edge_fraction,0.0387894,
metric,"round_13",partition_load_imbalance,5.94237,
metric,"round_13",local_queue_size,183696,
metric,"round_13",boundary_queue_size,7413,
metric,"round_13",accepted_local_collapses,512,
metric,"round_13",accepted_boundary_collapses,128,
metric,"round_13",skipped_boundary_edges,0,
metric,"round_13",rejected_conflicts,96,
metric,"round_13",repartitioned,1,
metric,"round_14",interior_edge_fraction,0.961515,
metric,"round_14",boundary_edge_fraction,0.0384853,
metric,"round_14",partition_load_imbalance,6.06227,
metric,"round_14",local_queue_size,181908,
metric,"round_14",boundary_queue_size,7281,
metric,"round_14",accepted_local_collapses,512,
metric,"round_14",accepted_boundary_collapses,128,
metric,"round_14",skipped_boundary_edges,0,
metric,"round_14",rejected_conflicts,94,
metric,"round_14",repartitioned,1,
metric,"round_15",interior_edge_fraction,0.961814,
metric,"round_15",boundary_edge_fraction,0.0381857,
metric,"round_15",partition_load_imbalance,6.18397,
metric,"round_15",local_queue_size,180118,
metric,"round_15",boundary_queue_size,7151,
metric,"round_15",accepted_local_collapses,512,
metric,"round_15",accepted_boundary_collapses,128,
metric,"round_15",skipped_boundary_edges,0,
metric,"round_15",rejected_conflicts,90,
metric,"round_15",repartitioned,1,
metric,"round_16",interior_edge_fraction,0.962298,
metric,"round_16",boundary_edge_fraction,0.0377018,
metric,"round_16",partition_load_imbalance,6.31222,
metric,"round_16",local_queue_size,178361,
metric,"round_16",boundary_queue_size,6988,
metric,"round_16",accepted_local_collapses,512,
metric,"round_16",accepted_boundary_collapses,128,
metric,"round_16",skipped_boundary_edges,0,
metric,"round_16",rejected_conflicts,110,
metric,"round_16",repartitioned,1,
metric,"round_17",interior_edge_fraction,0.962438,
metric,"round_17",boundary_edge_fraction,0.0375622,
metric,"round_17",partition_load_imbalance,6.44964,
metric,"round_17",local_queue_size,176539,
metric,"round_17",boundary_queue_size,6890,
metric,"round_17",accepted_local_collapses,512,
metric,"round_17",accepted_boundary_collapses,128,
metric,"round_17",skipped_boundary_edges,0,
metric,"round_17",rejected_conflicts,99,
metric,"round_17",repartitioned,1,
metric,"round_18",interior_edge_fraction,0.96274,
metric,"round_18",boundary_edge_fraction,0.0372599,
metric,"round_18",partition_load_imbalance,6.60148,
metric,"round_18",local_queue_size,174746,
metric,"round_18",boundary_queue_size,6763,
metric,"round_18",accepted_local_collapses,512,
metric,"round_18",accepted_boundary_collapses,128,
metric,"round_18",skipped_boundary_edges,0,
metric,"round_18",rejected_conflicts,115,
metric,"round_18",repartitioned,1,
metric,"round_19",interior_edge_fraction,0.963272,
metric,"round_19",boundary_edge_fraction,0.0367283,
metric,"round_19",partition_load_imbalance,6.75725,
metric,"round_19",local_queue_size,172993,
metric,"round_19",boundary_queue_size,6596,
metric,"round_19",accepted_local_collapses,512,
metric,"round_19",accepted_boundary_collapses,128,
metric,"round_19",skipped_boundary_edges,0,
metric,"round_19",rejected_conflicts,115,
metric,"round_19",repartitioned,1,
metric,"round_20",interior_edge_fraction,0.963381,
metric,"round_20",boundary_edge_fraction,0.0366187,
metric,"round_20",partition_load_imbalance,6.91546,
metric,"round_20",local_queue_size,171163,
metric,"round_20",boundary_queue_size,6506,
metric,"round_20",accepted_local_collapses,512,
metric,"round_20",accepted_boundary_collapses,128,
metric,"round_20",skipped_boundary_edges,0,
metric,"round_20",rejected_conflicts,111,
metric,"round_20",repartitioned,1,
metric,"round_21",interior_edge_fraction,0.963886,
